"#","Player","FG","FGA","FT","FTA","PTS","ORB","DRB","AST","STL","BLK","TO","PF","Value"
"98","Wendell Carter                             (ORL - C)","4.4","8.7","2.4","3.3","11.4","2.6","5.9","1.8",".7","1.0","1.4","3.5","$4"
"99","Chris Boucher                             (TOR - PF,C)                              (Out)","4.4","8.8","2.4","3.1","12.5","2.2","4.5","1.0",".5","1.7",".8","3.0","$4"
"100","Tyler Herro                             (MIA - SG,PG)                              (Out)","5.0","11.4","1.5","1.8","13.4",".4","3.9","2.8",".6",".2","1.7","1.3","$4"
"101","Mitchell Robinson                             (NY - C)                              (Out)","3.8","5.3","1.3","2.2","9.7","3.4","4.5",".6","1.0","1.8",".8","3.7","$4"
"102","Kyle Lowry                             (MIA - PG)                              (Out)","5.1","11.7","3.4","4.1","16.0",".7","4.2","7.0","1.2",".3","2.6","2.7","$4"
"103","Buddy Hield                             (SAC - SG,SF)","6.5","14.9","1.5","1.7","17.7",".8","3.8","2.9",".8",".4","1.8","2.3","$4"
"104","Spencer Dinwiddie                             (WSH - PG,SG)","6.2","15.0","4.9","6.2","19.5",".5","2.9","6.2",".7",".3","2.6","2.8","$4"
"105","Isaiah Stewart                             (DET - C,PF)","4.2","7.7","1.2","1.7","10.1","2.8","5.3","1.2",".8","1.6","1.3","3.4","$4"
"106","Saddiq Bey                             (DET - SF)                              (Out)","4.6","11.4","2.0","2.4","14.1",".6","4.0","1.5",".8",".3","1.0","1.7","$4"
"107","Miles Bridges                             (CHA - SF,PF)","4.6","9.9","1.4","1.7","12.0","1.3","4.7","2.1",".7",".7","1.5","2.0","$4"
"108","Malik Beasley                             (MIN - SG,SF)","6.2","13.9","1.4","1.7","16.6",".6","3.2","1.8",".9",".2","1.4","1.8","$4"
"109","Kemba Walker                             (NY - PG)                              (Out)","6.8","15.7","3.7","4.4","19.9",".6","3.4","4.8","1.1",".3","2.1","1.4","$4"
"110","Jakob Poeltl                             (SA - C)","4.0","6.3","1.0","1.9","9.0","3.5","5.1","2.2",".7","1.7","1.2","3.2","$4"
"111","Lauri Markkanen                             (CLE - PF)","5.1","11.6","2.1","2.5","14.4",".9","5.1","1.1",".6",".4","1.3","1.7","$4"
"112","Evan Mobley                             (CLE - C,PF)","4.2","9.1","1.8","2.4","11.2","1.4","4.7","2.0",".6","1.7","1.8","2.4","$4"
"113","Rui Hachimura                             (WSH - PF,SF)                              (Day To Day)","5.4","11.5","2.3","2.9","13.8","1.1","4.4","1.5",".8",".2","1.2","2.1","$4"
"114","Josh Giddey                             (OKC - SG,PG)","3.0","6.5","1.3","1.7","8.1","1.5","5.1","6.9",".8",".4","2.4","2.4","$4"
"115","Daniel Gafford                             (WSH - PF,C)","4.0","5.7","1.7","2.7","10.6","2.1","2.8",".6",".6","1.9",".9","2.6","$4"
"116","Bojan Bogdanovic                             (UTAH - SF,PF)","6.1","13.4","3.1","3.6","17.8",".5","3.6","1.9",".6",".1","2.0","1.8","$4"
"117","Norman Powell                             (POR - SG,SF)                              (Day To Day)","6.1","13.1","2.7","3.2","16.9",".5","2.8","1.8","1.2",".3","1.6","2.6","$4"
"118","Jae'Sean Tate                             (HOU - SF)","4.6","9.0","1.5","2.1","11.5","1.8","3.4","2.5","1.2",".5","1.4","3.2","$4"
"119","Mike Conley                             (UTAH - PG)","5.4","12.5","3.4","4.0","16.2",".6","3.0","5.7","1.2",".1","1.8","1.8","$4"
"120","Kyle Kuzma                             (WSH - PF,SF)","4.9","10.8","1.6","2.1","12.8",".9","3.9","1.7",".5",".5","1.6","1.9","$4"
